"ProteinID","C1_1","C1_2","C2_1","C2_2","C3_1","C3_2","C4_1","C4_2","Log2(Int) C1_1","Log2(Int) C1_2","Log2(Int) C2_1","Log2(Int) C2_2","Log2(Int) C3_1","Log2(Int) C3_2","Log2(Int) C4_1","Log2(Int) C4_2","Mean intensity C1","Mean intensity C2","Mean intensity C3","Mean intensity C4","Condition_1_SD","Condition_2_SD","Condition_3_SD","Condition_4_SD","Condition_1_CV","Condition_2_CV","Condition_3_CV","Condition_4_CV","qValue C2","qValue C3","qValue C4","Log2 intensity C1","Log2 intensity C2","Log2 intensity C3","Log2 intensity C4","Z-Score C1","Z-Score C2","Z-Score C3","Z-Score C4","Ratio C2/C1","Ratio C3/C1","Ratio C4/C1","Fold change C2/C1","Fold change C3/C1","Fold change C4/C1","Log2(ratio) C2/C1","Log2(ratio) C3/C1","Log2(ratio) C4/C1"
"P56960",94000,93000,49000,1e+05,89000,90000,130000,120000,16.52,16.5,15.58,16.61,16.44,16.46,16.99,16.87,93500,74500,89500,125000,707,36100,707,7070,0.7563,48.41,0.7901,5.657,0.64316,0.94445,0.14489,16.513,16.185,16.45,16.932,-0.023,-1.083,-0.227,1.332,0.797,0.957,1.337,-1.255,-1.045,1.337,-0.327,-0.063,0.419
"Q8VBV3",91000,96000,89000,89000,1e+05,1e+05,110000,110000,16.47,16.55,16.44,16.44,16.61,16.61,16.75,16.75,93500,89000,1e+05,110000,3540,0,0,0,3.781,0,0,0,0.53597,0.1016,0.00115,16.513,16.442,16.61,16.747,-0.492,-1.03,0.241,1.28,0.952,1.07,1.176,-1.05,1.07,1.176,-0.071,0.098,0.234
"F6TGV1",91000,90000,83000,89000,91000,90000,91000,88000,16.47,16.46,16.34,16.44,16.47,16.46,16.47,16.43,90500,86000,90500,89500,707,4240,707,2120,0.7813,4.933,0.7813,2.37,0.59258,1,0.35551,16.466,16.392,16.466,16.45,0.641,-1.465,0.641,0.182,0.95,1,0.989,-1.053,1,-1.011,-0.074,0,-0.016
"Q7TQK4",89000,94000,86000,97000,96000,95000,91000,94000,16.44,16.52,16.39,16.57,16.55,16.54,16.47,16.52,91500,91500,95500,92500,3540,7780,707,2120,3.864,8.501,0.7404,2.293,1,0.56118,0.3976,16.481,16.481,16.543,16.497,-0.663,-0.663,1.451,-0.126,1,1.044,1.011,1,1.044,1.011,0,0.062,0.016
"Q921I9",46000,46000,48000,45000,50000,48000,52000,50000,15.49,15.49,15.55,15.46,15.61,15.55,15.67,15.61,46000,46500,49000,51000,0,2120,1410,1410,0,4.562,2.886,2.773,0.94435,0.21959,0.01614,15.489,15.505,15.58,15.638,-0.923,-0.698,0.394,1.227,1.011,1.065,1.109,1.011,1.065,1.109,0.016,0.091,0.149
"Q9CRA8",140000,150000,160000,140000,140000,140000,150000,140000,17.1,17.19,17.29,17.1,17.1,17.1,17.19,17.1,145000,150000,140000,145000,7070,14100,0,7070,4.877,9.428,0,4.877,0.83968,0.7081,0.46318,17.146,17.195,17.095,17.146,0.011,1.214,-1.235,0.011,1.034,0.966,1,1.034,-1.035,1,0.048,-0.05,0
"Q8BTW3",88000,86000,81000,86000,90000,91000,1e+05,96000,16.43,16.39,16.31,16.39,16.46,16.47,16.61,16.55,87000,83500,90500,98000,1410,3540,707,2830,1.626,4.234,0.7813,2.886,0.63912,0.40034,0.00758,16.409,16.349,16.466,16.58,-0.43,-1.032,0.148,1.315,0.96,1.04,1.126,-1.042,1.04,1.126,-0.059,0.057,0.171
"Q9D0M0",1e+05,97000,110000,1e+05,110000,110000,120000,120000,16.61,16.57,16.75,16.61,16.75,16.75,16.87,16.87,98500,105000,110000,120000,2120,7070,0,0,2.154,6.734,0,0,0.58743,0.08289,0.0025,16.588,16.68,16.747,16.873,-1.119,-0.35,0.21,1.258,1.066,1.117,1.218,1.066,1.117,1.218,0.092,0.16,0.285
"Q9D753",86000,91000,91000,87000,90000,92000,1e+05,110000,16.39,16.47,16.47,16.41,16.46,16.49,16.61,16.75,88500,89000,91000,105000,3540,2830,1410,7070,3.995,3.178,1.554,6.734,1,0.6869,0.00738,16.433,16.442,16.474,16.68,-0.633,-0.563,-0.288,1.483,1.006,1.028,1.186,1.006,1.028,1.186,0.009,0.04,0.246
"Q9JHI7",150000,150000,160000,140000,150000,160000,160000,150000,17.19,17.19,17.29,17.1,17.19,17.29,17.29,17.19,150000,150000,155000,155000,0,14100,7070,7070,0,9.428,4.562,4.562,1,0.72096,0.29074,17.195,17.195,17.242,17.242,-0.866,-0.866,0.866,0.866,1,1.033,1.033,1,1.033,1.033,0,0.047,0.047
"P97464",50000,52000,56000,50000,55000,52000,53000,53000,15.61,15.67,15.77,15.61,15.75,15.67,15.69,15.69,51000,53000,53500,53000,1410,4240,2120,0,2.773,8.005,3.965,0,0.7499,0.51599,0.2262,15.638,15.694,15.707,15.694,-1.467,0.342,0.783,0.342,1.039,1.049,1.039,1.039,1.049,1.039,0.055,0.069,0.055
"P70428",21000,22000,26000,23000,25000,24000,33000,31000,14.36,14.43,14.67,14.49,14.61,14.55,15.01,14.92,21500,24500,24500,32000,707,2120,707,1410,3.289,8.658,2.886,4.419,0.45043,0.12568,0.00068,14.392,14.58,14.58,14.966,-0.986,-0.204,-0.204,1.394,1.14,1.14,1.488,1.14,1.14,1.488,0.189,0.189,0.573
"Q9WVL6",44000,43000,43000,43000,49000,48000,55000,54000,15.43,15.39,15.39,15.39,15.58,15.55,15.75,15.72,43500,43000,48500,54500,707,0,707,707,1.626,0,1.458,1.297,0.84369,0.0167,0.00021,15.409,15.392,15.566,15.734,-0.729,-0.833,0.254,1.308,0.989,1.115,1.253,-1.011,1.115,1.253,-0.016,0.157,0.325
"P97480",34000,35000,35000,32000,38000,38000,49000,47000,15.05,15.1,15.1,14.97,15.21,15.21,15.58,15.52,34500,33500,38000,48000,707,2120,0,1410,2.05,6.332,0,2.946,0.74757,0.12016,0.00042,15.074,15.032,15.214,15.551,-0.609,-0.79,-0.017,1.416,0.971,1.101,1.391,-1.03,1.101,1.391,-0.042,0.139,0.476
"P70351",68000,60000,53000,71000,60000,57000,67000,63000,16.05,15.87,15.69,16.12,15.87,15.8,16.03,15.94,64000,62000,58500,65000,5660,12700,2120,2830,8.839,20.53,3.626,4.351,0.91973,0.60134,0.42251,15.966,15.92,15.836,15.988,0.569,-0.112,-1.36,0.902,0.969,0.914,1.016,-1.032,-1.094,1.016,-0.045,-0.13,0.023
"P26040",970000,930000,740000,970000,910000,930000,8e+05,790000,19.89,19.83,19.5,19.89,19.8,19.83,19.61,19.59,950000,855000,920000,795000,28300,163000,14100,7070,2.977,19.02,1.537,0.8894,0.63912,0.84803,0.06116,19.858,19.706,19.811,19.601,0.992,-0.333,0.589,-1.248,0.9,0.968,0.837,-1.111,-1.033,-1.195,-0.152,-0.047,-0.257
"Q8BH61",89000,84000,96000,81000,71000,74000,64000,58000,16.44,16.36,16.55,16.31,16.12,16.18,15.97,15.82,86500,88500,72500,61000,3540,10600,2120,4240,4.087,11.98,2.926,6.955,0.95907,0.12525,0.00323,16.4,16.433,16.146,15.897,0.724,0.856,-0.293,-1.287,1.023,0.838,0.705,1.023,-1.193,-1.418,0.033,-0.255,-0.504
"O88783",25000,23000,27000,23000,24000,27000,25000,25000,14.61,14.49,14.72,14.49,14.55,14.72,14.61,14.61,24000,25000,25500,25000,1410,2830,2120,0,5.893,11.31,8.319,0,0.85031,0.5961,0.29226,14.551,14.61,14.638,14.61,-1.396,0.206,0.983,0.206,1.042,1.062,1.042,1.042,1.062,1.042,0.059,0.087,0.059
"Q00558",31000,31000,29000,31000,31000,33000,35000,35000,14.92,14.92,14.82,14.92,14.92,15.01,15.1,15.1,31000,30000,32000,35000,0,1410,1410,0,0,4.714,4.419,0,0.70149,0.5591,0.01084,14.92,14.873,14.966,15.095,-0.454,-0.948,0.025,1.377,0.968,1.032,1.129,-1.033,1.032,1.129,-0.047,0.045,0.175
"O08914",120000,120000,120000,120000,110000,110000,1e+05,1e+05,16.87,16.87,16.87,16.87,16.75,16.75,16.61,16.61,120000,120000,110000,1e+05,0,0,0,0,0,0,0,0,1,0.01849,0.00022,16.873,16.873,16.747,16.61,0.774,0.774,-0.226,-1.323,1,0.917,0.833,1,-1.091,-1.2,0,-0.125,-0.264
"Q61160",1e+05,98000,99000,93000,88000,93000,79000,81000,16.61,16.58,16.6,16.5,16.43,16.5,16.27,16.31,99000,96000,90500,80000,1410,4240,3540,1410,1.428,4.419,3.907,1.768,0.71007,0.11073,0.00139,16.595,16.551,16.466,16.288,0.886,0.559,-0.068,-1.378,0.97,0.914,0.808,-1.031,-1.094,-1.238,-0.044,-0.13,-0.308
"P54731",89000,87000,95000,88000,84000,86000,88000,89000,16.44,16.41,16.54,16.43,16.36,16.39,16.43,16.44,88000,91500,85000,88500,1410,4950,1410,707,1.607,5.41,1.664,0.799,0.64869,0.49424,0.41592,16.425,16.481,16.375,16.433,-0.083,1.21,-1.232,0.105,1.04,0.966,1.006,1.04,-1.035,1.006,0.057,-0.05,0.009
"Q3TDN2",110000,1e+05,120000,120000,120000,120000,130000,130000,16.75,16.61,16.87,16.87,16.87,16.87,16.99,16.99,105000,120000,120000,130000,7070,0,0,0,6.734,0,0,0,0.28186,0.04291,0.00161,16.68,16.873,16.873,16.988,-1.357,0.151,0.151,1.055,1.143,1.143,1.238,1.143,1.143,1.238,0.193,0.193,0.308
"P35505",21000,21000,25000,22000,21000,22000,20000,20000,14.36,14.36,14.61,14.43,14.36,14.43,14.29,14.29,21000,23500,21500,20000,0,2120,707,0,0,9.027,3.289,0,0.46815,0.76872,0.18473,14.358,14.52,14.392,14.288,-0.323,1.343,0.026,-1.045,1.119,1.024,0.952,1.119,1.024,-1.05,0.162,0.034,-0.071
"Q8R0F8",16000,12000,19000,15000,18000,19000,16000,18000,13.97,13.55,14.21,13.87,14.14,14.21,13.97,14.14,14000,17000,18500,17000,2830,2830,707,1410,20.2,16.64,3.822,8.319,0.62442,0.16156,0.09749,13.773,14.053,14.175,14.053,-1.412,0.232,0.948,0.232,1.214,1.321,1.214,1.214,1.321,1.214,0.28,0.402,0.28
"Q3TC72",54000,53000,56000,52000,53000,53000,49000,48000,15.72,15.69,15.77,15.67,15.69,15.69,15.58,15.55,53500,54000,53000,48500,707,2830,0,707,1.322,5.238,0,1.458,0.9593,0.87568,0.01567,15.707,15.721,15.694,15.566,0.495,0.682,0.305,-1.482,1.009,0.991,0.907,1.009,-1.009,-1.103,0.013,-0.013,-0.141
"Q9WUD8",84000,80000,89000,77000,91000,92000,1e+05,110000,16.36,16.29,16.44,16.23,16.47,16.49,16.61,16.75,82000,83000,91500,105000,2830,8490,707,7070,3.449,10.22,0.7728,6.734,1,0.24714,0.00689,16.323,16.341,16.481,16.68,-0.806,-0.7,0.152,1.355,1.012,1.116,1.28,1.012,1.116,1.28,0.017,0.158,0.356
"Q8BQS4",21000,24000,22000,21000,21000,23000,22000,22000,14.36,14.55,14.43,14.36,14.36,14.49,14.43,14.43,22500,21500,22000,22000,2120,707,1410,0,9.428,3.289,6.428,0,0.76646,0.83514,0.3586,14.458,14.392,14.425,14.425,1.218,-1.232,0.007,0.007,0.956,0.978,0.978,-1.046,-1.022,-1.022,-0.065,-0.032,-0.032
"Q9CQY2",97000,94000,98000,90000,98000,1e+05,1e+05,1e+05,16.57,16.52,16.58,16.46,16.58,16.61,16.61,16.61,95500,94000,99000,1e+05,2120,5660,1410,0,2.221,6.018,1.428,0,0.87283,0.5117,0.1308,16.543,16.52,16.595,16.61,-0.565,-1.106,0.664,1.008,0.984,1.037,1.047,-1.016,1.037,1.047,-0.023,0.052,0.066
"A2A6P4",7600,7900,12000,9900,13000,13000,8000,12000,12.89,12.95,13.55,13.27,13.67,13.67,12.97,13.55,7750,10950,13000,10000,212,1480,0,2830,2.737,13.56,0,28.28,0.46865,0.05412,0.09477,12.92,13.419,13.666,13.288,-1.295,0.307,1.102,-0.114,1.413,1.677,1.29,1.413,1.677,1.29,0.499,0.746,0.367
"Q3TVP5",120000,110000,120000,110000,110000,110000,80000,79000,16.87,16.75,16.87,16.75,16.75,16.75,16.29,16.27,115000,115000,110000,79500,7070,7070,0,707,6.149,6.149,0,0.8894,1,0.52813,0.00048,16.811,16.811,16.747,16.279,0.58,0.58,0.33,-1.49,1,0.957,0.691,1,-1.045,-1.447,0,-0.063,-0.533
"Q3TGF2",170000,170000,180000,160000,160000,170000,140000,140000,17.38,17.38,17.46,17.29,17.29,17.38,17.1,17.1,170000,170000,165000,140000,0,14100,7070,0,0,8.319,4.285,0,1,0.6869,0.00602,17.375,17.375,17.332,17.095,0.601,0.601,0.281,-1.483,1,0.971,0.824,1,-1.03,-1.214,0,-0.042,-0.279
"Q8VE88-2",86000,85000,91000,81000,87000,92000,87000,89000,16.39,16.38,16.47,16.31,16.41,16.49,16.41,16.44,85500,86000,89500,88000,707,7070,3540,1410,0.827,8.222,3.95,1.607,1,0.53205,0.27965,16.384,16.392,16.45,16.425,-0.951,-0.675,1.213,0.413,1.006,1.047,1.029,1.006,1.047,1.029,0.009,0.066,0.041
"Q8VE88",87000,85000,92000,81000,86000,92000,87000,90000,16.41,16.38,16.49,16.31,16.39,16.49,16.41,16.46,86000,86500,89000,88500,1410,7780,4240,2120,1.644,8.992,4.767,2.397,1,0.6869,0.2989,16.392,16.4,16.442,16.433,-1.021,-0.677,1.017,0.682,1.006,1.035,1.029,1.006,1.035,1.029,0.009,0.05,0.041
"Q7TNF9",6100,7100,7200,5200,5900,5100,8400,8400,12.57,12.79,12.81,12.34,12.53,12.32,13.04,13.04,6600,6200,5500,8400,707,1410,566,0,10.71,22.81,10.29,0,0.83956,0.35639,0.06376,12.688,12.598,12.425,13.036,0.005,-0.346,-1.018,1.358,0.939,0.833,1.273,-1.065,-1.2,1.273,-0.091,-0.264,0.348
"Q91YN1",45000,44000,45000,41000,45000,45000,40000,40000,15.46,15.43,15.46,15.32,15.46,15.46,15.29,15.29,44500,43000,45000,40000,707,2830,0,0,1.589,6.578,0,0,0.69874,0.8683,0.01871,15.442,15.392,15.458,15.288,0.611,-0.035,0.821,-1.397,0.966,1.011,0.899,-1.035,1.011,-1.112,-0.05,0.016,-0.154
"Q8C569",42000,42000,39000,42000,48000,47000,56000,56000,15.36,15.36,15.25,15.36,15.55,15.52,15.77,15.77,42000,40500,47500,56000,0,2120,707,0,0,5.238,1.489,0,0.64327,0.03571,0.00032,15.358,15.306,15.536,15.773,-0.64,-0.888,0.201,1.327,0.964,1.131,1.333,-1.037,1.131,1.333,-0.053,0.178,0.415
"Q6A0A9",110000,110000,91000,110000,120000,120000,130000,130000,16.75,16.75,16.47,16.75,16.87,16.87,16.99,16.99,110000,100500,120000,130000,0,13400,0,0,0,13.37,0,0,0.62735,0.38062,0.02828,16.747,16.617,16.873,16.988,-0.369,-1.183,0.415,1.137,0.914,1.091,1.182,-1.094,1.091,1.182,-0.13,0.126,0.241
"Q6RI63",19000,20000,19000,20000,21000,21000,21000,18000,14.21,14.29,14.21,14.29,14.36,14.36,14.36,14.14,19500,19500,21000,19500,707,707,0,2120,3.626,3.626,0,10.88,1,0.40732,0.46243,14.251,14.251,14.358,14.251,-0.5,-0.5,1.5,-0.5,1,1.077,1,1,1.077,1,0,0.107,0
"Q8C3F2",30000,28000,25000,28000,27000,25000,25000,25000,14.87,14.77,14.61,14.77,14.72,14.61,14.61,14.61,29000,26500,26000,25000,1410,2120,1410,0,4.877,8.005,5.439,0,0.58222,0.18874,0.02298,14.824,14.694,14.666,14.61,1.384,-0.051,-0.354,-0.978,0.914,0.897,0.862,-1.094,-1.115,-1.16,-0.13,-0.157,-0.214
"Q9DB52",14000,13000,14000,13000,15000,14000,16000,16000,13.77,13.67,13.77,13.67,13.87,13.77,13.97,13.97,13500,13500,14500,16000,707,707,707,0,5.238,5.238,4.877,0,1,0.29805,0.00801,13.721,13.721,13.824,13.966,-0.75,-0.75,0.138,1.362,1,1.074,1.185,1,1.074,1.185,0,0.103,0.245
"Q6P9N1",25000,25000,22000,24000,23000,24000,24000,23000,14.61,14.61,14.43,14.55,14.49,14.55,14.55,14.49,25000,23000,23500,23500,0,1410,707,707,0,6.149,3.009,3.009,0.49416,0.29848,0.0921,14.61,14.489,14.52,14.52,1.439,-0.878,-0.28,-0.28,0.92,0.94,0.94,-1.087,-1.064,-1.064,-0.12,-0.089,-0.089
"Q8C729",28000,29000,26000,27000,31000,30000,34000,35000,14.77,14.82,14.67,14.72,14.92,14.87,15.05,15.1,28500,26500,30500,34500,707,707,707,707,2.481,2.668,2.318,2.05,0.42608,0.1353,0.00104,14.799,14.694,14.897,15.074,-0.415,-1.064,0.19,1.289,0.93,1.07,1.211,-1.075,1.07,1.211,-0.105,0.098,0.276
"Q3UW53",60000,59000,65000,59000,56000,57000,67000,70000,15.87,15.85,15.99,15.85,15.77,15.8,16.03,16.1,59500,62000,56500,68500,707,4240,707,2120,1.188,6.843,1.252,3.097,0.6918,0.39602,0.01045,15.861,15.92,15.786,16.064,-0.399,0.105,-1.033,1.327,1.042,0.95,1.151,1.042,-1.053,1.151,0.059,-0.074,0.203
"Q8R1F1",15000,15000,14000,14000,15000,14000,14000,14000,13.87,13.87,13.77,13.77,13.87,13.77,13.77,13.77,15000,14000,14500,14000,0,0,707,0,0,0,4.877,0,0.45239,0.43047,0.03422,13.873,13.773,13.824,13.773,1.299,-0.787,0.274,-0.787,0.933,0.967,0.933,-1.072,-1.034,-1.072,-0.1,-0.048,-0.1
"Q9CVI2",79000,77000,86000,75000,85000,85000,79000,85000,16.27,16.23,16.39,16.19,16.38,16.38,16.27,16.38,78000,80500,85000,82000,1410,7780,0,4240,1.813,9.662,0,5.174,0.84639,0.30442,0.20731,16.251,16.297,16.375,16.323,-1.166,-0.288,1.227,0.227,1.032,1.09,1.051,1.032,1.09,1.051,0.045,0.124,0.072
"Q6NS82",29000,27000,33000,30000,32000,31000,32000,33000,14.82,14.72,15.01,14.87,14.97,14.92,14.97,15.01,28000,31500,31500,32500,1410,2120,707,707,5.051,6.734,2.245,2.176,0.42608,0.11346,0.01306,14.773,14.943,14.943,14.988,-1.462,0.329,0.329,0.804,1.125,1.125,1.161,1.125,1.125,1.161,0.17,0.17,0.215
"Q9CQV4",65000,62000,68000,69000,73000,73000,70000,72000,15.99,15.92,16.05,16.07,16.16,16.16,16.1,16.14,63500,68500,73000,71000,2120,707,0,1410,3.341,1.032,0,1.992,0.37437,0.01395,0.00496,15.954,16.064,16.156,16.116,-1.353,-0.098,0.956,0.496,1.079,1.15,1.118,1.079,1.15,1.118,0.11,0.202,0.161
"Q9CR98",75000,69000,92000,81000,78000,82000,85000,82000,16.19,16.07,16.49,16.31,16.25,16.32,16.38,16.32,72000,86500,80000,83500,4240,7780,2830,2120,5.893,8.992,3.536,2.541,0.3333,0.22658,0.027,16.136,16.4,16.288,16.349,-1.374,0.933,-0.049,0.489,1.201,1.111,1.16,1.201,1.111,1.16,0.264,0.152,0.214
"Q8K2H3",30000,31000,36000,29000,26000,27000,30000,28000,14.87,14.92,15.14,14.82,14.67,14.72,14.87,14.77,30500,32500,26500,29000,707,4950,707,1410,2.318,15.23,2.668,4.877,0.77266,0.24347,0.27128,14.897,14.988,14.694,14.824,0.37,1.107,-1.262,-0.215,1.066,0.869,0.951,1.066,-1.151,-1.052,0.092,-0.203,-0.072
"D3YUE4",62000,63000,67000,58000,58000,58000,50000,49000,15.92,15.94,16.03,15.82,15.82,15.82,15.61,15.58,62500,62500,58000,49500,707,6360,0,707,1.131,10.18,0,1.428,1,0.34158,0.00429,15.932,15.932,15.824,15.595,0.7,0.7,0.021,-1.421,1,0.928,0.792,1,-1.078,-1.263,0,-0.108,-0.336
"Q3U2I3",21000,23000,21000,20000,18000,19000,19000,20000,14.36,14.49,14.36,14.29,14.14,14.21,14.21,14.29,22000,20500,18500,19500,1410,707,707,707,6.428,3.449,3.822,3.626,0.61817,0.04127,0.02641,14.425,14.323,14.175,14.251,1.235,0.278,-1.113,-0.4,0.932,0.841,0.886,-1.073,-1.189,-1.129,-0.102,-0.25,-0.175
"Q8CDM8",110000,110000,120000,120000,1e+05,110000,98000,95000,16.75,16.75,16.87,16.87,16.61,16.75,16.58,16.54,110000,120000,105000,96500,0,0,7070,2120,0,0,6.734,2.198,0.46729,0.4035,0.01059,16.747,16.873,16.68,16.558,0.249,1.205,-0.263,-1.191,1.091,0.955,0.877,1.091,-1.047,-1.14,0.126,-0.066,-0.189
"Q9D6U8",1e+05,1e+05,90000,110000,120000,120000,130000,140000,16.61,16.61,16.46,16.75,16.87,16.87,16.99,17.1,1e+05,1e+05,120000,135000,0,14100,0,7070,0,14.14,0,5.238,1,0.12226,0.00605,16.61,16.61,16.873,17.043,-0.819,-0.819,0.419,1.218,1,1.2,1.35,1,1.2,1.35,0,0.263,0.433
"G3UWF0",32000,36000,35000,29000,39000,37000,44000,47000,14.97,15.14,15.1,14.82,15.25,15.18,15.43,15.52,34000,32000,38000,45500,2830,4240,1410,2120,8.319,13.26,3.722,4.662,0.74918,0.35878,0.00925,15.053,14.966,15.214,15.474,-0.553,-0.945,0.166,1.332,0.941,1.118,1.338,-1.063,1.118,1.338,-0.088,0.161,0.42
"Q8CHT6",64000,68000,67000,66000,60000,63000,59000,58000,15.97,16.05,16.03,16.01,15.87,15.94,15.85,15.82,66000,66500,61500,58500,2830,707,2120,707,4.285,1.063,3.449,1.209,0.97046,0.16072,0.00827,16.01,16.021,15.908,15.836,0.753,0.877,-0.405,-1.225,1.008,0.932,0.886,1.008,-1.073,-1.129,0.011,-0.102,-0.175
"Q3TNH5",30000,31000,29000,29000,29000,30000,32000,30000,14.87,14.92,14.82,14.82,14.82,14.87,14.97,14.87,30500,29000,29500,31000,707,0,707,1410,2.318,0,2.397,4.562,0.60346,0.49648,0.3118,14.897,14.824,14.848,14.92,0.554,-1.102,-0.541,1.089,0.951,0.967,1.016,-1.052,-1.034,1.016,-0.072,-0.048,0.023
"Q501J2",34000,34000,37000,31000,32000,34000,47000,45000,15.05,15.05,15.18,14.92,14.97,15.05,15.52,15.46,34000,34000,33000,46000,0,4240,1410,1410,0,12.48,4.285,3.074,1,0.78101,0.00412,15.053,15.053,15.01,15.489,-0.434,-0.434,-0.625,1.494,1,0.971,1.353,1,-1.03,1.353,0,-0.042,0.436
"Q8BPZ8",95000,99000,96000,91000,90000,96000,81000,83000,16.54,16.6,16.55,16.47,16.46,16.55,16.31,16.34,97000,93500,93000,82000,2830,3540,4240,1410,2.916,3.781,4.562,1.725,0.6899,0.44499,0.00404,16.566,16.513,16.505,16.323,0.842,0.341,0.267,-1.45,0.964,0.959,0.845,-1.037,-1.043,-1.183,-0.053,-0.06,-0.243
"Q3TCJ1",82000,87000,78000,81000,84000,87000,82000,82000,16.32,16.41,16.25,16.31,16.36,16.41,16.32,16.32,84500,79500,85500,82000,3540,2120,2120,0,4.184,2.668,2.481,0,0.54099,0.82205,0.1978,16.367,16.279,16.384,16.323,0.608,-1.263,0.968,-0.313,0.941,1.012,0.97,-1.063,1.012,-1.031,-0.088,0.017,-0.044
"Q8BR63",46000,48000,60000,47000,44000,46000,36000,39000,15.49,15.55,15.87,15.52,15.43,15.49,15.14,15.25,47000,53500,45000,37500,1410,9190,1410,2120,3.009,17.18,3.143,5.657,0.63912,0.76582,0.02917,15.52,15.707,15.458,15.195,0.238,1.119,-0.058,-1.299,1.138,0.957,0.798,1.138,-1.045,-1.253,0.187,-0.063,-0.326
"Q6A070",6800,7200,7400,6500,6900,6100,7400,6800,12.73,12.81,12.85,12.67,12.75,12.57,12.85,12.73,7000,6950,6500,7100,283,636,566,424,4.041,9.157,8.703,5.976,1,0.48537,0.40898,12.773,12.763,12.666,12.794,0.427,0.245,-1.461,0.789,0.993,0.929,1.014,-1.007,-1.076,1.014,-0.01,-0.106,0.02
"E9PW83",28000,26000,22000,25000,32000,30000,30000,30000,14.77,14.67,14.43,14.61,14.97,14.87,14.87,14.87,27000,23500,31000,30000,1410,2120,1410,0,5.238,9.027,4.562,0,0.43602,0.12629,0.06354,14.721,14.52,14.92,14.873,-0.21,-1.322,0.897,0.635,0.87,1.148,1.111,-1.149,1.148,1.111,-0.201,0.199,0.152
"Q9CV28",21000,22000,23000,19000,19000,18000,23000,24000,14.36,14.43,14.49,14.21,14.21,14.14,14.49,14.55,21500,21000,18500,23500,707,2830,707,707,3.289,13.47,3.822,3.009,0.90883,0.17447,0.13894,14.392,14.358,14.175,14.52,0.215,-0.023,-1.307,1.116,0.977,0.86,1.093,-1.024,-1.163,1.093,-0.034,-0.218,0.128
"Q91WE2",160000,160000,180000,150000,150000,150000,160000,170000,17.29,17.29,17.46,17.19,17.19,17.19,17.29,17.38,160000,165000,150000,165000,0,21200,0,7070,0,12.86,0,4.285,0.90249,0.52778,0.32388,17.288,17.332,17.195,17.332,0.017,0.702,-1.42,0.702,1.031,0.938,1.031,1.031,-1.066,1.031,0.044,-0.092,0.044
"Q3UGS4",110000,92000,110000,89000,120000,110000,120000,120000,16.75,16.49,16.75,16.44,16.87,16.75,16.87,16.87,101000,99500,115000,120000,12700,14800,7070,0,12.6,14.92,6.149,0,1,0.37204,0.07005,16.624,16.602,16.811,16.873,-0.769,-0.929,0.621,1.077,0.985,1.139,1.188,-1.015,1.139,1.188,-0.022,0.188,0.249
"Q8C6C7",17000,18000,17000,18000,19000,20000,24000,24000,14.05,14.14,14.05,14.14,14.21,14.29,14.55,14.55,17500,17500,19500,24000,707,707,707,0,4.041,4.041,3.626,0,1,0.07997,4e-04,14.095,14.095,14.251,14.551,-0.712,-0.712,0.015,1.409,1,1.114,1.371,1,1.114,1.371,0,0.156,0.455
"Q80ZQ9",17000,21000,19000,19000,20000,21000,23000,22000,14.05,14.36,14.21,14.21,14.29,14.36,14.49,14.43,19000,19000,20500,22500,2830,0,707,707,14.89,0,3.449,3.143,1,0.48353,0.03757,14.214,14.214,14.323,14.458,-0.763,-0.763,0.183,1.343,1,1.079,1.184,1,1.079,1.184,0,0.11,0.244
"Q69ZR9",1e+05,1e+05,110000,1e+05,110000,110000,1e+05,110000,16.61,16.61,16.75,16.61,16.75,16.75,16.61,16.75,1e+05,105000,110000,105000,0,7070,0,7070,0,6.734,0,6.734,0.6918,0.19858,0.18778,16.61,16.68,16.747,16.68,-1.239,0.015,1.21,0.015,1.05,1.1,1.05,1.05,1.1,1.05,0.07,0.138,0.07
"Q8VCS3",42000,41000,39000,44000,43000,46000,45000,46000,15.36,15.32,15.25,15.43,15.39,15.49,15.46,15.49,41500,41500,44500,45500,707,3540,2120,707,1.704,8.519,4.767,1.554,1,0.36462,0.06759,15.341,15.341,15.442,15.474,-0.85,-0.85,0.617,1.084,1,1.072,1.096,1,1.072,1.096,0,0.1,0.132
"Q6PGL7",60000,60000,59000,58000,54000,57000,51000,51000,15.87,15.87,15.85,15.82,15.72,15.8,15.64,15.64,60000,58500,55500,51000,0,707,2120,0,0,1.209,3.822,0,0.69562,0.07613,0.00129,15.873,15.836,15.76,15.638,0.925,0.573,-0.16,-1.338,0.975,0.925,0.85,-1.026,-1.081,-1.176,-0.037,-0.112,-0.234
"Q9D8B6",45000,47000,44000,47000,42000,47000,44000,43000,15.46,15.52,15.43,15.52,15.36,15.52,15.43,15.39,46000,45500,44500,43500,1410,2120,3540,707,3.074,4.662,7.945,1.626,0.98314,0.65644,0.16039,15.489,15.474,15.442,15.409,1.008,0.567,-0.329,-1.246,0.989,0.967,0.946,-1.011,-1.034,-1.057,-0.016,-0.048,-0.08
